year,binary,budget_2013$,domgross_2013$,intgross_2013$,NET 
2008,FAIL,200217418,343101064,851257517,651040099
2008,PASS,64935379,18726740,62826552,-2108827
2008,FAIL,201299674,344811326,630352749,429053075
2008,FAIL,48701534,110070196,260720275,212018741
2008,FAIL,89286146,87844867,241465674,152179528
2008,FAIL,140693320,233155446,683889160,543195840
2008,FAIL,4870153,2296640,13255131,8384978
2008,FAIL,43290252,49797572,115313044,72022792
2008,PASS,37878971,44034081,92816237,54937266
2008,FAIL,64935379,12774146,54814990,-10120389
2008,FAIL,21645126,34460447,62006112,40360986
2008,FAIL,48701534,8568101,9859851,-38841683
2008,PASS,10822563,34077322,36303849,25481286
2008,PASS,40043484,51955621,101820495,61777011
2008,FAIL,28138664,94525760,109902346,81763682
2008,FAIL,1623384,4183,34541,-1588843
2008,PASS,27056408,10934736,16023683,-11032725
2008,PASS,19480614,47477881,61807319,42326705
2008,FAIL,248918952,183300049,640362486,391443534
2008,PASS,12987076,34298662,44688323,31701247
2008,PASS,12987076,13849484,14423083,1436007
2008,PASS,48701534,24796094,86109680,37408146
2008,FAIL,19480614,6169538,30080599,10599985
2008,PASS,58441841,75705803,180322655,121880814
2008,PASS,62229738,165203458,449403966,387174228
2008,FAIL,15151588,152944384,416148834,400997246
2008,PASS,129870757,47560583,101076746,-28794011
2008,FAIL,70346660,108732985,139036162,68689502
2008,PASS,5411282,13054780,17816707,12405425
2008,FAIL,21645126,3337178,4744112,-16901014
2008,PASS,27056408,156928235,245608963,218552555
2008,PASS,21645126,32533339,71583685,49938559
2008,FAIL,21645126,3822265,5986778,-15658348
2008,PASS,243507670,153270751,453996009,210488339
2008,FAIL,173161010,137997773,356938225,183777215
2008,FAIL,200217418,577216380,1085385502,885168084
2008,PASS,86580505,85895413,252238208,165657703
2008,PASS,12987076,34003083,61600619,48613543
2008,FAIL,59524097,56358790,139692526,80168429
2008,PASS,27056408,52205219,76014858,48958450
2008,FAIL,16233845,18417633,53998338,37764493
2008,FAIL,148810243,145895632,285085699,136275456
2008,PASS,15151588,288927,288927,-14862661
2008,PASS,43290252,29020656,84107503,40817251
2008,FAIL,35173330,37007113,122315840,87142510
2008,PASS,11904819,40876996,43272961,31368142
2008,PASS,29220920,47716642,47911629,18690709
2008,FAIL,9740307,56924095,89883201,80142894
2008,PASS,64935379,55062111,97925059,32989680
2008,PASS,17316101,29114940,54225162,36909061
2008,FAIL,6493538,28396504,50470238,43976700
2008,PASS,16233845,2384904,6904335,-9329510
2008,FAIL,97403068,119547447,203641087,106238019
2008,PASS,40043484,208626391,430655689,390612205
2008,FAIL,97403068,89911432,220674342,123271274
2008,PASS,17316101,25126430,113100998,95784897
2008,FAIL,194806136,242217798,576399965,381593829
2008,FAIL,2164513,2471710,12040820,9876307
2008,FAIL,81169223,145572728,370582375,289413152
2008,FAIL,29762049,45927188,47194630,17432581
2008,PASS,324677,936904,1532525,1207848
2008,PASS,37878971,86880989,236511649,198632678
2008,FAIL,54112816,105726675,244580160,190467344
2007,PASS,25279728,80878983,147480104,122200376
2007,PASS,16853152,32177067,72168247,55315095
2007,FAIL,53930087,60229701,79964640,26034553
2007,FAIL,33706305,44457488,90193752,56487447
2007,FAIL,33706305,19022584,37026824,3320519
2007,PASS,50559457,27351175,32995262,-17564195
2007,PASS,33706305,57278425,146285687,112579382
2007,PASS,18538467,20969716,44228231,25689764
2007,PASS,168531522,92349898,219085603,50554081
2007,PASS,68536152,133246132,163581806,95045654
2007,PASS,28088587,92393631,155031909,126943322
2007,PASS,8988348,514844,514844,-8473504
2007,FAIL,13482522,4438327,5950184,-7532338
2007,PASS,84265761,74896639,134277795,50012034
2007,PASS,23594413,48019515,55028051,31433638
2007,PASS,3089745,1070310,6060896,2971151
2007,PASS,22470870,90119077,132098426,109627556
2007,PASS,56177174,19303898,62207616,6030442
2007,PASS,95501196,143484229,382436383,286935187
2007,FAIL,134825218,148219809,323822443,188997225
2007,PASS,21347326,22808178,38896737,17549411
2007,PASS,84265761,133557691,227935344,143669583
2007,PASS,16853152,65467925,87090800,70237648
2007,FAIL,56177174,31088139,90538854,34361680
2007,PASS,168531522,328080020,1059438513,890906991
2007,FAIL,19662011,44590850,112315914,92653903
2007,PASS,8426576,19712359,37758262,29331686
2007,FAIL,17976696,26536733,91841386,73864690
2007,FAIL,28088587,15660322,16105323,-11983264
2007,PASS,168531522,288068696,657733649,489202127
2007,FAIL,22470870,20621917,63362472,40891602
2007,PASS,7864804,161223170,260044254,252179450
2007,PASS,30897446,167140312,246229599,215332153
2007,PASS,14044294,6692364,11857251,-2187043
2007,FAIL,123589783,151149634,430914277,307324494
2007,FAIL,24156185,55091699,104475669,80319484
2007,FAIL,44941739,56820503,162937935,117996196
2007,FAIL,28088587,83449513,184318713,156230126
2007,PASS,31459218,48433689,102990511,71531293
2007,FAIL,505595,121251476,218173082,217667487
2007,PASS,8201867,4992356,25552185,17350318
2007,PASS,337063045,347647302,1079721346,742658301
2007,PASS,22470870,53764481,91525361,69054491
2007,FAIL,168531522,231950669,703955827,535424305
2007,PASS,50559457,56905993,164220396,113660939
2007,FAIL,202237827,157437618,284285677,82047850
2007,FAIL,67412609,52810568,107527136,40114527
2007,PASS,179766957,362589890,907071412,727304455
2007,PASS,12808396,16853,25219695,12411299
2007,PASS,78648044,43408033,152303819,73655775
2007,FAIL,44941739,4144258,35987783,-8953956
2007,FAIL,19662011,136469216,190848721,171186710
2007,PASS,18538467,13361645,15321020,-3217447
2007,FAIL,2247087,390519,2641047,393960
2007,FAIL,50559457,105013679,195845194,145285737
2007,PASS,230326414,78769081,418222056,187895642
2007,FAIL,22470870,17752075,83345293,60874423
2007,PASS,17976696,39745163,60418363,42441667
2007,PASS,14606065,28755697,61544892,46938827
2007,FAIL,35953391,39541053,87179297,51225906
2007,PASS,10111891,7441321,11956776,1844885
2007,FAIL,56177,282178,456495,400318
2007,PASS,81456903,205760152,592187212,510730309
2007,FAIL,4494174,10591674,21543741,17049567
2007,FAIL,28088587,45191743,86747344,58658757
2007,FAIL,39324022,60838866,107968055,68644033
2007,FAIL,169655066,358686980,795775055,626119989
2007,PASS,7345604,9824,16088238,8742634
2007,PASS,1685315,21456928,24961971,23276656
2007,FAIL,31459218,32091974,62140782,30681564
2006,FAIL,69347781,243427977,524918705,455570924
2006,FAIL,23115927,6358748,8558769,-14557158
2006,PASS,9246371,21784947,21913233,12666862
2006,PASS,13869556,21494740,26558990,12689434
2006,PASS,10402167,18765207,18765207,8363040
2006,FAIL,115579635,66317186,198077969,82498334
2006,FAIL,9246371,14645442,14645442,5399071
2006,FAIL,20804334,148526717,302324822,281520488
2006,PASS,4623185,8098328,8098328,3475143
2006,FAIL,80905744,282110219,533594150,452688406
2006,FAIL,117891227,193439856,689276488,571385261
2006,PASS,87840522,41091314,80270290,-7570232
2006,FAIL,5778982,27910249,29928737,24149755
2006,FAIL,13869556,32175530,50768266,36898710
2006,FAIL,2311593,13042765,93847250,91535657
2006,PASS,34673890,555145,8964615,-25709275
2006,PASS,18492742,43497951,100602327,82109585
2006,FAIL,115579635,86719588,288357452,172777817
2006,FAIL,9246371,344554,485204,-8761167
2006,PASS,28894909,62526330,130371575,101476666
2006,FAIL,172213656,74740347,205345335,33131679
2006,PASS,13869556,6414581,6414581,-7454975
2006,PASS,7512676,15451191,20247613,12734937
2006,FAIL,86684726,225762418,753462808,666778082
2006,PASS,17336945,14643840,14643840,-2693105
2006,FAIL,57789817,102443127,213399577,155609760
2006,FAIL,12713760,84117369,98564824,85851064
2006,FAIL,86684726,48873044,84124832,-2559894
2006,PASS,52010836,44382535,50095967,-1914869
2006,FAIL,15025353,15899229,79468028,64442675
2006,PASS,16181149,6314137,17063043,881894
2006,PASS,9246371,69221912,116216452,106970081
2006,FAIL,31206501,26000177,64141457,32934956
2006,FAIL,23115927,43275535,47783141,24667214
2006,PASS,46231854,18449366,70344622,24112768
2006,PASS,34673890,3473867,41482984,6809094
2006,PASS,86684726,85137126,163276310,76591584
2006,FAIL,36985483,92692547,114766488,77781005
2006,PASS,127137598,289946849,663982857,536845259
2006,PASS,31784400,20238130,57503632,25719232
2006,FAIL,173369,10917487,21956864,21783495
2006,FAIL,98242689,98364347,219487695,121245006
2006,FAIL,15025353,5614135,5614135,-9411218
2006,PASS,73624227,2569674,154418394,80794167
2006,FAIL,260054178,489266869,1225855881,965801703
2006,FAIL,184927415,70127732,209979090,25051675
2006,PASS,462319,1956408,2915828,2453509
2006,PASS,6125721,2540087,33746588,27620867
2006,PASS,13869556,7928763,10063173,-3806383
2006,FAIL,28894909,39168966,63891969,34997060
2006,FAIL,2311593,230207,719837,-1591756
2006,PASS,2311593,2294593,2294593,-17000
2006,PASS,57789817,54302354,115559561,57769744
2006,PASS,17625894,9018043,14944843,-2681051
2006,FAIL,19648538,41218854,64779219,45130681
2006,PASS,38141279,39321133,71683430,33542151
2006,PASS,19648538,318283,421411,-19227127
2006,PASS,23115927,31103330,35135878,12019951
2006,PASS,34673890,46734845,52282667,17608777
2006,FAIL,268144752,231297965,451770741,183625989
2006,PASS,34673890,40154753,75578093,40904203
2006,FAIL,52010836,32527039,57340095,5329259
2006,FAIL,60101410,137316349,234562168,174460758
2006,FAIL,144474543,251427474,887444081,742969538
2006,PASS,3814128,22971,22971,-3791157
2006,FAIL,104021671,154080367,335803963,231782292
2006,PASS,40452872,144174568,377426561,336973689
2006,FAIL,40452872,11724410,17870505,-22582367
2006,PASS,23115927,45242306,81765471,58649544
2006,FAIL,4276446,3155666,15517247,11240801
2006,PASS,98242689,73138793,237158227,138915538
2006,PASS,57789817,30771576,67253922,9464105
2006,FAIL,19070640,46080031,96846559,77775919
2006,FAIL,46231854,60482951,132720223,86488369
2006,FAIL,22422449,9316281,17474248,-4948201
2006,FAIL,46231854,61361102,124705810,78473956
2006,FAIL,63568799,187916346,355205844,291637045
2006,FAIL,17336945,65235123,148965821,131628876
2006,FAIL,9593110,2114116,29669493,20076383
2006,FAIL,34673890,21407734,23950486,-10723404
2006,PASS,10864486,14909619,98936014,88071528
2006,FAIL,75126763,50329573,50329573,-24797190
2006,PASS,17336945,55316660,77374176,60037231
2006,FAIL,1155796,515676,531824,-623972
2006,PASS,242717233,270875277,530926095,288208862
2006,FAIL,62413003,87611686,150718167,88305164
2006,PASS,40452872,13857222,14454606,-25998266
2006,PASS,25427520,5083807,31481990,6054470
2005,PASS,65616822,30849435,57209924,-8406898
2005,PASS,35790994,23909452,42997982,7206988
2005,FAIL,178954969,244981925,445357804,266402835
2005,PASS,29825828,43368365,45754431,15928603
2005,PASS,95442650,75534696,156477397,61034747
2005,FAIL,29825828,2869746,4301386,-25524442
2005,FAIL,23860663,55777141,80163307,56302644
2005,PASS,3459796,3731178,3731178,271382
2005,FAIL,536865,2476430,4876515,4339650
2005,FAIL,16583160,99073958,207704444,191121284
2005,FAIL,8351232,34300335,59561080,51209848
2005,PASS,178954969,246312517,566045396,387090427
2005,PASS,5368649,252526,28002720,22634071
2005,FAIL,104986915,73550386,129491710,24504795
2005,PASS,53686491,80249227,91469619,37783128
2005,FAIL,89477485,90642097,275453129,185975644
2005,FAIL,536865,452658,1084540,547675
2005,FAIL,35790994,63659187,136925192,101134198
2005,PASS,41756160,23019456,29962909,-11793251
2005,FAIL,51300425,29274195,58503506,7203081
2005,PASS,71581988,30390244,59023039,-12558949
2005,FAIL,9544265,27566,532615,-9011650
2005,PASS,59651656,12132195,27403019,-32248637
2005,FAIL,83512319,33658253,65154327,-18357992
2005,FAIL,104390399,184557548,394556433,290166034
2005,PASS,65616822,107023409,269275914,203659092
2005,PASS,167024638,131889812,240751838,73727200
2005,FAIL,8351232,37581997,67510048,59158816
2005,PASS,1133381,1222429,9862884,8729503
2005,FAIL,178954969,345995160,1070044630,891089661
2005,PASS,59651656,78752930,171928818,112277162
2005,PASS,29825828,60964573,146862958,117037130
2005,FAIL,65616822,212102508,437585770,371968948
2005,PASS,20878080,61305929,131046803,110168723
2005,FAIL,5726559,56462050,98116369,92389810
2005,FAIL,3340493,26488687,28112307,24771814
2005,PASS,29825828,29087739,30699527,873699
2005,FAIL,85898385,74740591,115661627,29763242
2005,PASS,1193033,3194955,4244757,3051724
2005,PASS,69195921,57645130,120123026,50927105
2005,FAIL,246957858,260176695,656785445,409827587
2005,FAIL,131233644,56547877,261099301,129865657
2005,FAIL,17895497,5053494,15635698,-2259799
2005,FAIL,50107391,28811311,74138215,24030824
2005,FAIL,89477485,230965870,663994001,574516516
2005,PASS,59651656,23502402,26365681,-33285975
2005,PASS,17895497,27547047,104974897,87079400
2005,PASS,2386066,4635094,10051933,7665867
2005,PASS,101407816,68015836,192687798,91279982
2005,PASS,4772133,1031925,1149158,-3622975
2005,PASS,71581988,57835867,120952557,49370569
2005,FAIL,131233644,222305354,570671028,439437384
2005,FAIL,89477485,56524824,155427270,65949785
2005,PASS,35790994,21861428,30093356,-5697638
2005,FAIL,77547153,2470676,31819291,-45727862
2005,PASS,33404928,45779857,144259786,110854858
2005,PASS,23860663,8989900,9883481,-13977182
2005,PASS,31018861,69066839,114001241,82982380
2005,PASS,47721325,34690477,37784099,-9937226
2005,FAIL,95442650,152946861,311023751,215581101
2005,FAIL,5965166,103823819,182444702,176479536
2005,PASS,46528292,30439664,45949095,-579197
2005,FAIL,8947748,12269777,14028182,5080434
2005,PASS,47721325,88408312,189398567,141677242
2005,PASS,357910,39742,39742,-318168
2005,PASS,71581988,76281887,97384257,25802269
2005,FAIL,119303313,20303541,71484662,-47818651
2005,FAIL,137198810,453675396,1012883787,875684977
2005,FAIL,164638572,38316342,91167710,-73470862
2005,PASS,2386066,2472734,2478937,92871
2005,FAIL,8947748,29579478,47741203,38793455
2005,FAIL,31018861,130576566,211596412,180577551
2005,FAIL,59651656,46740275,82827477,23175821
2005,PASS,22071113,77825570,130250195,108179082
2005,PASS,1789550,849790,1343663,-445887
2005,PASS,214745963,348020836,893351507,678605544
2005,PASS,30422345,40061811,96730885,66308540
2005,PASS,8351232,31048038,68038213,59686981
2005,PASS,8351232,20335227,24982624,16631392
2005,PASS,21474596,89563925,172497916,151023320
2005,PASS,21474596,35207734,44200119,22725523
2005,FAIL,53686491,60867491,124098247,70411756
2005,PASS,143163975,42733150,194486964,51322989
2005,FAIL,34001444,7517458,18435915,-15565529
2005,FAIL,95442650,54372886,168784763,73342113
2005,FAIL,35790994,15165948,31238857,-4552137
2005,PASS,59651656,90600996,193201845,133550189
2005,PASS,47721325,57155491,110065560,62344235
2005,FAIL,1789550,8795916,13351738,11562188
2005,PASS,17895497,37851356,56281383,38385886
2005,PASS,1193033,10755555,19748472,18555439
2005,FAIL,5666907,1495363,3652785,-2014122
2005,PASS,59651656,84122001,154177511,94525855
2005,PASS,1342162,19237114,22277835,20935673
2005,PASS,34597961,142590606,223941260,189343299
2005,FAIL,157480373,279504224,723976090,566495717
2005,PASS,3579099,6596452,9686481,6107382
2005,FAIL,11930331,66922430,109871622,97941291
2005,PASS,53686491,63660149,86327778,32641287
2005,FAIL,77547153,33459258,69846769,-7700384
2004,PASS,36995786,70464299,118928779,81932993
2004,PASS,14798315,1778681,23680825,8882510
2004,FAIL,92489466,148941129,242105970,149616504
2004,PASS,23430665,63433191,86407246,62976581
2004,FAIL,8015754,1268976,1274887,-6740867
2004,PASS,67825608,7606108,73506419,5680811
2004,FAIL,30829822,103757037,110205951,79376129
2004,FAIL,135651216,29601758,88795016,-46856200
2004,FAIL,86323501,99002076,212779439,126455938
2004,FAIL,18497893,1480098,13821985,-4675908
2004,FAIL,2466386,7143667,13927421,11461035
2004,PASS,61659644,49578078,325432881,263773237
2004,PASS,123319288,49577287,101301096,-22018192
2004,PASS,55493679,39466636,75811746,20318067
2004,PASS,43161751,41913460,142404808,99243057
2004,FAIL,73991573,123529118,268429281,194437708
2004,PASS,24663858,9924151,9924151,-14739707
2004,PASS,9006109,68238010,124765870,115759761
2004,PASS,4316175,119364,119364,-4196811
2004,PASS,34529401,72746991,127577349,93047948
2004,PASS,36995786,140986916,206919534,169923748
2004,PASS,43161751,28256983,28256983,-14904768
2004,FAIL,24663858,42380545,90014995,65351137
2004,PASS,12331929,86973,86973,-12244956
2004,PASS,30829822,63727222,141861709,111031887
2004,FAIL,92489466,25908371,41939879,-50549587
2004,PASS,3082982,33027761,44430462,41347480
2004,PASS,11098736,22475144,22475144,11376408
2004,PASS,160315074,307729658,982470644,822155570
2004,FAIL,73991573,73527840,123102194,49110621
2004,PASS,135651216,61692142,94317626,-41333590
2004,PASS,27130243,15766017,24706665,-2423578
2004,FAIL,129485252,178567590,429892298,300407046
2004,FAIL,32063015,56097638,78295110,46232095
2004,PASS,13565122,12596630,16032690,2467568
2004,FAIL,24663858,21093356,124558238,99894380
2004,FAIL,8015754,2885618,14613600,6597846
2004,PASS,123319288,146290116,248645124,125325836
2004,PASS,3946217,8052286,17808733,13862516
2004,PASS,22197472,106112827,161490339,139292867
2004,PASS,36995786,123926269,286120974,249125188
2004,FAIL,34529401,79390606,79509747,44980346
2004,PASS,2096428,1234321,6106125,4009697
2004,FAIL,493277,54927590,56878201,56384924
2004,FAIL,49327715,17287347,26163275,-23164440
2004,FAIL,8632,523811,697797,689165
2004,PASS,61659644,46226886,53446952,-8212692
2004,FAIL,49327715,92866817,153930950,104603235
2004,PASS,61659644,62572303,159007986,97348342
2004,PASS,6165964,10958349,12613378,6447414
2004,FAIL,1479831,68053804,127137678,125657847
2004,FAIL,49327715,59141502,113591309,64263594
2004,FAIL,92489466,199052129,453599307,361109841
2004,PASS,6165964,16700976,37405681,31239717
2004,PASS,86323501,544117065,1155511754,1069188253
2004,PASS,20964279,88176131,135496025,114531746
2004,PASS,86323501,46565462,61327735,-24995766
2004,PASS,92489466,51848757,67017030,-25472436
2004,FAIL,246638575,460627734,966459425,719820850
2004,FAIL,24663858,40417692,61998567,37334709
2004,FAIL,135651216,126536475,264654077,129002861
2004,FAIL,104821395,217149789,355883988,251062593
2004,FAIL,16031507,71432302,118444284,102412777
2004,FAIL,147983145,71170953,132214001,-15769144
2004,PASS,154149110,230287423,686049183,531900073
2004,PASS,12331929,136094379,230953737,218621808
2004,PASS,113453745,322407292,779510522,666056777
2004,FAIL,61659644,29604924,42923407,-18736237
2004,FAIL,36995786,99890827,126127005,89131219
2004,FAIL,67825608,63171287,195122925,127297317
2004,FAIL,209642789,240410531,393449767,183806978
2004,PASS,55493679,117337605,150537624,95043945
2004,PASS,123319288,73344915,118660249,-4659039
2004,FAIL,92489466,95047057,269667169,177177703
2004,PASS,88398934,140827568,317721828,229322894
2004,FAIL,36995786,20130602,32462531,-4533255
2004,FAIL,184978932,164382856,597064223,412085291
2004,PASS,209642789,148168797,370143515,160500726
2004,PASS,13565122,4629167,16467879,2902757
2004,PASS,24663858,85274051,137438109,112774251
2004,PASS,43161751,20794820,51382801,8221050
2003,FAIL,96222609,160945047,299075134,202852525
2003,FAIL,25321739,20572268,75544402,50222663
2003,FAIL,88626087,84109786,156276743,67650656
2003,PASS,25321739,2980024,10586685,-14735054
2003,PASS,102553043,307285628,612120077,509567034
2003,PASS,151930435,127639706,287654957,135724522
2003,PASS,101286957,121079205,204640944,103353987
2003,FAIL,31652174,43879701,71451544,39799370
2003,PASS,75965217,131861413,207999839,132034622
2003,FAIL,101286957,129829011,231418562,130131605
2003,FAIL,8862609,41198066,41198066,32335457
2003,FAIL,86093913,42648478,95824131,9730218
2003,PASS,32918261,59375255,114450037,81531776
2003,FAIL,119012174,481783272,1147664217,1028652043
2003,PASS,32918261,139551191,203615191,170696930
2003,PASS,15193043,14730114,54798208,39605165
2003,PASS,8102957,5145199,100507729,92404772
2003,FAIL,25321739,85313907,91644342,66322603
2003,FAIL,94956522,38245683,64706900,-30249622
2003,PASS,20890435,16466075,20457336,-433099
2003,FAIL,63304348,133961521,224198644,160894296
2003,FAIL,173453913,167347872,310481535,137027622
2003,FAIL,35450435,66002713,104051689,68601254
2003,PASS,15193043,5972708,29998216,14805173
2003,PASS,31652174,45102830,45102830,13450656
2003,PASS,69634783,88750338,228019903,158385120
2003,FAIL,113947826,83123367,198084062,84136236
2003,PASS,31652174,114756967,158690184,127038010
2003,PASS,2532174,9244066,18282439,15750265
2003,FAIL,5064348,56449060,142498954,137434606
2003,PASS,56973913,75297075,313948928,256975015
2003,FAIL,170921739,118918972,269565280,98643541
2003,PASS,82295652,80780273,178778023,96482371
2003,PASS,6330435,43641017,73437720,67107285
2003,PASS,37982609,114118990,198566990,160584381
2003,PASS,126608696,61301208,120601727,-6006969
2003,FAIL,158260870,386677167,803907108,645646238
2003,PASS,35450435,48583127,153093346,117642911
2003,PASS,88626087,147977201,262275924,173649837
2003,PASS,56973913,139269669,196496696,139522783
2003,FAIL,37982609,53265467,60648814,22666205
2003,FAIL,63304348,76560557,111816793,48512445
2003,FAIL,7596522,2795488,3713077,-3883445
2003,FAIL,75965217,33530353,102259164,26293947
2003,FAIL,101286957,157862359,337646706,236359749
2003,PASS,50643478,141498677,212515222,161871744
2003,PASS,9875478,12825598,28412666,18537188
2003,PASS,215234783,190366677,548289460,333054677
2003,PASS,107617391,39389560,93858357,-13759034
2003,FAIL,75965217,134364760,223164081,147198864
2003,FAIL,25321739,60647568,171812557,146490818
2003,FAIL,177252174,140675650,578361911,401109737
2003,FAIL,98754783,84150728,226965337,128210554
2003,FAIL,119012174,478385772,1445122625,1326110451
2003,PASS,160793043,356471453,935102616,774309573
2003,PASS,139269565,176314964,537149747,397880182
2003,PASS,82295652,34058165,48432173,-33863479
2003,FAIL,25321739,102883716,166061455,140739716
2003,PASS,2532174,5825321,12035418,9503244
2003,FAIL,101286957,24664310,33808553,-67478404
2003,PASS,949565,52158,290250,-659315
2003,FAIL,27853913,65799413,121175229,93321316
2003,PASS,12660870,19520239,36272829,23611959
2003,PASS,158260870,272145004,516198274,357937404
2002,FAIL,5828306,16946895,32825657,26997351
2002,PASS,10361434,58367141,107442412,97080978
2002,PASS,10361434,3984522,54885065,44523631
2002,FAIL,53102348,151178596,314630213,261527865
2002,FAIL,38855376,84193406,137060380,98205004
2002,FAIL,23960815,29139615,29139615,5178800
2002,PASS,11656613,238643,238643,-11417970
2002,FAIL,16189740,27299975,30265212,14075472
2002,FAIL,81596291,276025731,379148984,297552693
2002,PASS,7253004,42149599,99379590,92126586
2002,FAIL,69939678,105786208,199896148,129956470
2002,PASS,38855376,51960544,66855105,27999729
2002,PASS,1942769,27403645,39310844,37368075
2002,PASS,38855376,45676592,110092382,71237006
2002,FAIL,67349319,213195306,454746230,387396911
2002,PASS,38855376,221070926,398510478,359655102
2002,PASS,15542151,48165989,73825215,58283064
2002,FAIL,64758961,10822278,10845911,-53913050
2002,FAIL,183915449,208448913,559442481,375527032
2002,FAIL,25903584,73045727,73045727,47142143
2002,FAIL,25903584,1541287,6923858,-18979726
2002,PASS,17484919,20595744,37596351,20111432
2002,FAIL,15542151,33525714,72155308,56613157
2002,PASS,38855,99819,99819,60964
2002,FAIL,125632384,100674928,246602123,120969739
2002,FAIL,9066255,329860,329860,-8736395
2002,PASS,129517922,339321257,1138436153,1008918231
2002,PASS,54397527,53805898,82607955,28210428
2002,FAIL,90662545,43467687,78073173,-12589372
2002,FAIL,84186649,228453301,500089862,415903213
2002,FAIL,11656613,6187673,6187673,-5468940
2002,FAIL,59578244,87117875,147161499,87583255
2002,PASS,103614337,188800252,318355051,214740714
2002,PASS,71234857,121659935,212199853,140964996
2002,PASS,2266564,188500,644143,-1622421
2002,FAIL,181325090,246626476,572168477,390843387
2002,FAIL,132108280,170995666,464742312,332634032
2002,FAIL,64758961,163572654,221824742,157065781
2002,PASS,6475896,312705749,456217193,449741297
2002,PASS,62168602,123441416,254254517,192085915
2002,FAIL,14246971,60311590,126716628,112469657
2002,PASS,45331273,39254038,39254038,-6077235
2002,PASS,9066255,8029593,21845695,12779440
2002,PASS,3885538,7580935,7580935,3695397
2002,FAIL,101023979,120393928,267396769,166372790
2002,FAIL,77710753,55772984,106399210,28688457
2002,PASS,45331273,51962213,134423285,89092012
2002,PASS,108795054,198543415,357850459,249055405
2002,FAIL,91572563,295256424,528777236,437204673
2002,FAIL,41445735,105104690,151403896,109958161
2002,FAIL,60873423,19388882,19388882,-41484541
2002,FAIL,180029911,522872106,1064074398,884044487
2002,FAIL,103614337,94826948,137956416,34342079
2002,PASS,5828306,531336,1324514,-4503792
2002,PASS,49216810,111186338,155060534,105843724
2002,FAIL,77710753,56022212,87182173,9471420
2002,FAIL,148945610,402382056,850538512,701592902
2002,FAIL,129517922,5713168,9189290,-120328632
2002,PASS,12951792,39252065,49303870,36352078
2002,FAIL,77710753,157324072,276261727,198550974
2002,FAIL,15542151,2304492,2304492,-13237659
2002,PASS,10361434,18156206,21831701,11470267
2002,PASS,32379480,53977881,125671845,93292365
2002,PASS,19427688,10851194,10851194,-8576494
2002,FAIL,121746846,443662324,1200694576,1078947730
2002,PASS,32379480,14780124,21274227,-11105253
2002,FAIL,25903584,16821330,34125645,8222061
2002,PASS,62168602,167199897,321487424,259318822
2002,FAIL,5180717,8452031,15281897,10101180
2002,FAIL,84186649,180322432,223840454,139653805
2002,PASS,55692706,31641581,57808305,2115599
2002,FAIL,27198764,32763432,56895840,29697076
2002,FAIL,77710753,65517936,135255080,57544327
2002,FAIL,129517922,49372949,118897452,-10620470
2002,PASS,19427688,24818223,25054743,5627055
2002,PASS,77710753,120911349,257796757,180086004
2002,PASS,90662545,101179654,148502998,57840453
2002,PASS,5569271,26913392,51667906,46098635
2002,PASS,20722867,21186244,28050694,7327827
2002,FAIL,90662545,183824786,346071886,255409341
2001,FAIL,102635985,224626742,418002230,315366245
2001,FAIL,53949684,73797860,132403823,78454139
2001,PASS,36843687,97449838,138373157,101529470
2001,FAIL,46054609,17454678,17454678,-28599931
2001,FAIL,39475379,14428526,23507863,-15967516
2001,FAIL,118426136,103447452,310408061,191981925
2001,FAIL,118426136,110600487,244811851,126385715
2001,FAIL,125005366,142951853,210128869,85123503
2001,FAIL,39475379,69727697,109586673,70111294
2001,PASS,32896149,94083718,370446373,337550224
2001,PASS,65792298,72368206,137490616,71698318
2001,FAIL,5921307,1671811,10127447,4206140
2001,PASS,94740909,148625750,231722738,136981829
2001,PASS,105267677,50411551,129402834,24135157
2001,FAIL,46054609,41578506,90414888,44360279
2001,PASS,7237153,8181731,11528926,4291773
2001,PASS,23685227,54344576,54344576,30659349
2001,PASS,114478598,217235991,460678038,346199440
2001,PASS,164480745,417880504,1282627914,1118147169
2001,PASS,7895076,4036110,4794811,-3100265
2001,PASS,13158460,298423,298423,-12860037
2001,FAIL,52633838,8045394,8045394,-44588444
2001,PASS,18421843,17265945,22305955,3884112
2001,PASS,28948611,39553522,44426118,15477507
2001,PASS,13158460,49876055,77554691,64396231
2001,PASS,28948611,18754529,18754529,-10194082
2001,FAIL,63160606,61970361,93343188,30182582
2001,FAIL,32896149,48467177,48467177,15571028
2001,PASS,1973769,9244768,11621399,9647630
2001,FAIL,921092,1501334,1501334,580242
2001,FAIL,123689520,172565543,361389438,237699918
2001,PASS,23685227,126970485,186599109,162913882
2001,PASS,328961,5540210,6178924,5849963
2001,FAIL,98688447,7118091,7118091,-91570356
2001,PASS,1579015,18259960,35561527,33982512
2001,FAIL,151322285,380836644,736554932,585232647
2001,PASS,69739836,75511622,235816959,166077123
2001,PASS,19737689,9499853,15684329,-4053360
2001,PASS,8552999,8123355,8123355,-429644
2001,FAIL,111846906,241348715,593089313,481242407
2001,FAIL,92109217,17891440,17891440,-74217777
2001,FAIL,199350663,261247866,591130447,391779784
2001,PASS,17105997,119792347,173215693,156109696
2001,PASS,52633838,93209654,93209654,40575816
2001,FAIL,13158460,643280,56286669,43128209
2001,FAIL,65792298,352192764,647149877,581357579
